Provider,Run,Task,Status,Duration,Answer,Details
provider-name,run-success,task-name,Passed,1m35s,Quos aut rerum quaerat qui ad culpa.,"{
  ""Answer"": {
    ""Title"": ""Responsio Bona"",
    ""Explanation"": [
      ""Quis ea voluptatem non aperiam dolor est."",
      ""Alias odit enim fugiat vitae aliquam dolor quo ratione.""
    ],
    ""ActualAnswer"": [
      ""Quos aut rerum quaerat qui ad culpa.""
    ],
    ""ExpectedAnswer"": [
      [
        ""Quos aut rerum quaerat qui ad culpa.""
      ]
    ],
    ""Usage"": {
      ""InputTokens"": 9876543210,
      ""OutputTokens"": 1234567890
    },
    ""ToolUsage"": {
      ""calculator"": {
        ""CallCount"": 127,
        ""TotalDuration"": 45000000000
      },
      ""file_processor"": {
        ""TotalDuration"": 350000000
      },
      ""memory_tool"": {
        ""CallCount"": 8
      },
      ""web_search"": {
        ""CallCount"": 1,
        ""TotalDuration"": 135000000000
      }
    }
  },
  ""Validation"": {
    ""Title"": ""Validatio Perfecta"",
    ""Explanation"": [
      ""Sed ut perspiciatis unde omnis iste natus error sit voluptatem.""
    ],
    ""Usage"": {
      ""InputTokens"": 11,
      ""OutputTokens"": 5
    },
    ""ToolUsage"": {
      ""data_formatter"": {
        ""CallCount"": 1
      },
      ""validator"": {
        ""CallCount"": 15,
        ""TotalDuration"": 7250000000
      }
    }
  },
  ""Error"": {
    ""Title"": """",
    ""Message"": """",
    ""Details"": null,
    ""Usage"": {}
  }
}"
provider-name,run-failure,task-name,Failed,10s,"@@ -1,67 +1,36 @@
-Nihil reprehenderit enim voluptatum dolore nisi neque quia aut qui
+Ipsam ea et optio explicabo eius et
 .
","{
  ""Answer"": {
    ""Title"": ""Generatio Responsi"",
    ""Explanation"": [
      ""Ut eos eius modi nihil voluptatem error."",
      ""Veniam omnis at possimus aliquid tempore."",
      ""Ut voluptatem ullam et ea non beatae eos adipisci incidunt."",
      ""Consequatur hic sint laboriosam maiores unde vero ipsum magnam.""
    ],
    ""ActualAnswer"": [
      ""Ipsam ea et optio explicabo eius et.""
    ],
    ""ExpectedAnswer"": [
      [
        ""Nihil reprehenderit enim voluptatum dolore nisi neque quia aut qui.""
      ]
    ],
    ""Usage"": {
      ""InputTokens"": 200
    },
    ""ToolUsage"": {
      ""json_parser"": {
        ""TotalDuration"": 55000000
      }
    }
  },
  ""Validation"": {
    ""Title"": ""Validatio Defecit"",
    ""Explanation"": [
      ""At vero eos et accusamus et iusto odio dignissimos ducimus qui.""
    ],
    ""Usage"": {}
  },
  ""Error"": {
    ""Title"": """",
    ""Message"": """",
    ""Details"": null,
    ""Usage"": {}
  }
}"
provider-name,run-success-multiple-answers,task-name,Passed,17s,Quos aut rerum quaerat qui ad culpa.,"{
  ""Answer"": {
    ""Title"": ""Multiplex Responsio"",
    ""Explanation"": [
      ""Quis ea voluptatem non aperiam."",
      ""Dolor est alias odit enim fugiat vitae aliquam dolore ratione.""
    ],
    ""ActualAnswer"": [
      ""Quos aut rerum quaerat qui ad culpa.""
    ],
    ""ExpectedAnswer"": [
      [
        ""Deserunt quo sint minus eos officiis et.""
      ],
      [
        ""Quos aut rerum quaerat qui ad culpa.""
      ]
    ],
    ""Usage"": {}
  },
  ""Validation"": {
    ""Title"": ""Selectio Validata"",
    ""Explanation"": [
      ""Blanditiis praesentium voluptatum deleniti atque corrupti quos dolores."",
      ""Et quas molestias excepturi sint occaecati cupiditate non provident."",
      ""Similique sunt in culpa qui officia deserunt mollitia animi.""
    ],
    ""Usage"": {}
  },
  ""Error"": {
    ""Title"": """",
    ""Message"": """",
    ""Details"": null,
    ""Usage"": {}
  }
}"
provider-name,run-failure-multiple-answers,task-name,Failed,3m0.8s,"[
    @@ -1,48 +1,36 @@
    -Dolores saepe ad sed rerum autem iure minima
    +Ipsam ea et optio explicabo eius
      et.
    
  ,
    @@ -1,67 +1,36 @@
    -Nihil reprehenderit enim voluptatum dolore nisi neque quia aut qui
    +Ipsam ea et optio explicabo eius et
     .
    
]","{
  ""Answer"": {
    ""Title"": ""Responsum Generatum"",
    ""Explanation"": [
      ""Ut eos eius modi nihil voluptatem error quidem."",
      ""Veniam omnis at possimus aliquid corporis."",
      ""Ut voluptatem ullam et ea non beatae eos adipisci incidunt tempore."",
      ""Consequatur hic sint laboriosam maiores unde vero ipsum dolorem.""
    ],
    ""ActualAnswer"": [
      ""Ipsam ea et optio explicabo eius et.""
    ],
    ""ExpectedAnswer"": [
      [
        ""Dolores saepe ad sed rerum autem iure minima et.""
      ],
      [
        ""Nihil reprehenderit enim voluptatum dolore nisi neque quia aut qui.""
      ]
    ],
    ""Usage"": {}
  },
  ""Validation"": {
    ""Title"": ""Selectio Rejicienda"",
    ""Explanation"": [
      ""Et harum quidem rerum facilis est et expedita distinctio nam libero.""
    ],
    ""Usage"": {
      ""InputTokens"": 500,
      ""OutputTokens"": 150
    },
    ""ToolUsage"": {
      ""grammar_analyzer"": {
        ""TotalDuration"": 12000000000
      },
      ""spell_checker"": {
        ""CallCount"": 847,
        ""TotalDuration"": 222300000000
      }
    }
  },
  ""Error"": {
    ""Title"": """",
    ""Message"": """",
    ""Details"": null,
    ""Usage"": {}
  }
}"
provider-name,run-error,task-name,Error,0s,error message,"{
  ""Answer"": {
    ""Title"": """",
    ""Explanation"": null,
    ""ActualAnswer"": null,
    ""ExpectedAnswer"": null,
    ""Usage"": {}
  },
  ""Validation"": {
    ""Title"": """",
    ""Explanation"": null,
    ""Usage"": {}
  },
  ""Error"": {
    ""Title"": ""Errorem Executionis"",
    ""Message"": ""Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus."",
    ""Details"": null,
    ""Usage"": {
      ""InputTokens"": 0,
      ""OutputTokens"": 0
    },
    ""ToolUsage"": {
      ""config_loader"": {
        ""CallCount"": 92
      },
      ""file_reader"": {
        ""CallCount"": 3456,
        ""TotalDuration"": 1512100000000
      }
    }
  }
}"
provider-name,run-not-supported,task-name,Skipped,500ms,Sequi molestiae iusto sit sit dolorum aut.,"{
  ""Answer"": {
    ""Title"": """",
    ""Explanation"": null,
    ""ActualAnswer"": null,
    ""ExpectedAnswer"": null,
    ""Usage"": {}
  },
  ""Validation"": {
    ""Title"": """",
    ""Explanation"": null,
    ""Usage"": {}
  },
  ""Error"": {
    ""Title"": ""Functio Non Supporta"",
    ""Message"": ""Voluptate velit esse cillum dolore eu fugiat nulla pariatur."",
    ""Details"": {
      ""Feature Type"": [
        ""advanced-reasoning""
      ],
      ""Provider"": [
        ""legacy-model-v1""
      ],
      ""Suggestion"": [
        ""Excepteur sint occaecat cupidatat non proident."",
        ""Sunt in culpa qui officia deserunt mollit anim.""
      ]
    },
    ""Usage"": {
      ""InputTokens"": 10,
      ""OutputTokens"": 0
    }
  }
}"
provider-name,run-validation-error,task-name,Error,2s,Adipiscing elit sed do eiusmod tempor.,"{
  ""Answer"": {
    ""Title"": """",
    ""Explanation"": null,
    ""ActualAnswer"": null,
    ""ExpectedAnswer"": null,
    ""Usage"": {}
  },
  ""Validation"": {
    ""Title"": """",
    ""Explanation"": null,
    ""Usage"": {}
  },
  ""Error"": {
    ""Title"": ""Validatio Deficiens"",
    ""Message"": ""Ut enim ad minim veniam quis nostrud exercitation ullamco laboris."",
    ""Details"": {
      ""Diagnostic"": [
        ""Nemo enim ipsam voluptatem quia voluptas sit""
      ],
      ""Endpoint"": [
        ""validate-response""
      ],
      ""Raw Response"": [
        ""Excepteur sint occaecat cupidatat non proident"",
        ""Sunt in culpa qui officia deserunt mollit anim"",
        ""Id est laborum et dolorum fuga""
      ],
      ""Service"": [
        ""validation-service-v2""
      ]
    },
    ""Usage"": {
      ""InputTokens"": 1234,
      ""OutputTokens"": 5678
    }
  }
}"
provider-name,run-parsing-error,task-name,Error,5m14.159s,Invalid JSON: {broken,"{
  ""Answer"": {
    ""Title"": """",
    ""Explanation"": null,
    ""ActualAnswer"": null,
    ""ExpectedAnswer"": null,
    ""Usage"": {}
  },
  ""Validation"": {
    ""Title"": """",
    ""Explanation"": null,
    ""Usage"": {}
  },
  ""Error"": {
    ""Title"": ""Parsing Errorem Responsi"",
    ""Message"": ""Duis aute irure dolor in reprehenderit in voluptate velit esse."",
    ""Details"": {
      ""Error Position"": [
        ""line 3, column 25""
      ],
      ""Parser State"": [
        ""Expected: closing quote or brace"",
        ""Found: end of input"",
        ""Context: within object literal""
      ],
      ""Raw Response"": [
        ""Invalid JSON: {broken"",
        ""  \""field1\"": \""value1\"","",
        ""  \""field2\"": incomplete..."",
        ""} // missing closing brace""
      ],
      ""Recovery"": [
        ""Cillum dolore eu fugiat nulla pariatur.""
      ]
    },
    ""Usage"": {
      ""OutputTokens"": 333
    }
  }
}"
provider-name,run-structured-success,task-name,Passed,42s,"[
  {
    ""level"": ""INFO"",
    ""message"": ""User 'admin' logged in successfully."",
    ""timestamp"": ""2025-09-14T10:30:00Z"",
    ""user_id"": ""admin""
  },
  {
    ""level"": ""WARN"",
    ""message"": ""System memory usage is high."",
    ""timestamp"": ""2025-09-14T10:31:15Z""
  }
]","{
  ""Answer"": {
    ""Title"": ""Log Parsing Success"",
    ""Explanation"": [
      ""Successfully parsed log entries with structured JSON output."",
      ""Extracted timestamps, levels, messages, and user IDs where present.""
    ],
    ""ActualAnswer"": [
      ""["",
      ""  {"",
      ""    \""timestamp\"": \""2025-09-14T10:30:00Z\"","",
      ""    \""level\"": \""INFO\"","",
      ""    \""message\"": \""User 'admin' logged in successfully.\"","",
      ""    \""user_id\"": \""admin\"""",
      ""  },"",
      ""  {"",
      ""    \""timestamp\"": \""2025-09-14T10:31:15Z\"","",
      ""    \""level\"": \""WARN\"","",
      ""    \""message\"": \""System memory usage is high.\"""",
      ""  }"",
      ""]""
    ],
    ""ExpectedAnswer"": [
      [
        ""["",
        ""  {"",
        ""    \""timestamp\"": \""2025-09-14T10:30:00Z\"","",
        ""    \""level\"": \""INFO\"","",
        ""    \""message\"": \""User 'admin' logged in successfully.\"","",
        ""    \""user_id\"": \""admin\"""",
        ""  },"",
        ""  {"",
        ""    \""timestamp\"": \""2025-09-14T10:31:15Z\"","",
        ""    \""level\"": \""WARN\"","",
        ""    \""message\"": \""System memory usage is high.\"""",
        ""  }"",
        ""]""
      ]
    ],
    ""Usage"": {
      ""InputTokens"": 456,
      ""OutputTokens"": 234
    },
    ""ToolUsage"": {
      ""json_parser"": {
        ""CallCount"": 2,
        ""TotalDuration"": 50000000
      },
      ""validator"": {
        ""CallCount"": 1,
        ""TotalDuration"": 25000000
      }
    }
  },
  ""Validation"": {
    ""Title"": ""Structured Validation Success"",
    ""Explanation"": [
      ""JSON structure matches expected schema."",
      ""All required fields present with correct types."",
      ""Deep equality comparison passed.""
    ],
    ""Usage"": {
      ""InputTokens"": 78,
      ""OutputTokens"": 12
    },
    ""ToolUsage"": {
      ""schema_validator"": {
        ""CallCount"": 1,
        ""TotalDuration"": 15000000
      }
    }
  },
  ""Error"": {
    ""Title"": """",
    ""Message"": """",
    ""Details"": null,
    ""Usage"": {}
  }
}"
provider-name,run-structured-failure,task-name,Failed,38s,"[
    @@ -11,12 +11,13 @@
     %22: %22
    -INFO
    +ERROR
     %22,%0A 
    @@ -33,43 +33,46 @@
     %22: %22
    -User 'admin' logged in successfully
    +Authentication failed for user 'admin'
     .%22,%0A
    
  ,
    @@ -11,12 +11,13 @@
     %22: %22
    -WARN
    +ERROR
     %22,%0A 
    @@ -33,35 +33,46 @@
     %22: %22
    -System mem
    +Authentication failed f
     or
    -y
      us
    -age is high
    +er 'admin'
     .%22,%0A
    @@ -106,12 +106,34 @@
     10:3
    -1:15Z
    +0:00Z%22,%0A  %22user_id%22: %22admin
     %22%0A%7D
    
  ,
    @@ -11,12 +11,13 @@
     %22: %22
    -INFO
    +ERROR
     %22,%0A 
    @@ -33,29 +33,46 @@
     %22: %22
    -User login successful
    +Authentication failed for user 'admin'
     .%22,%0A
    
]","{
  ""Answer"": {
    ""Title"": ""Log Parsing with Incorrect Data"",
    ""Explanation"": [
      ""Parsed log entries but with incorrect content."",
      ""First entry shows authentication failure instead of success."",
      ""Second entry is correct.""
    ],
    ""ActualAnswer"": [
      ""{"",
      ""  \""level\"": \""ERROR\"","",
      ""  \""message\"": \""Authentication failed for user 'admin'.\"","",
      ""  \""timestamp\"": \""2025-09-14T10:30:00Z\"","",
      ""  \""user_id\"": \""admin\"""",
      ""}""
    ],
    ""ExpectedAnswer"": [
      [
        ""{"",
        ""  \""level\"": \""INFO\"","",
        ""  \""message\"": \""User 'admin' logged in successfully.\"","",
        ""  \""timestamp\"": \""2025-09-14T10:30:00Z\"","",
        ""  \""user_id\"": \""admin\"""",
        ""}""
      ],
      [
        ""{"",
        ""  \""level\"": \""WARN\"","",
        ""  \""message\"": \""System memory usage is high.\"","",
        ""  \""timestamp\"": \""2025-09-14T10:31:15Z\"""",
        ""}""
      ],
      [
        ""{"",
        ""  \""level\"": \""INFO\"","",
        ""  \""message\"": \""User login successful.\"","",
        ""  \""timestamp\"": \""2025-09-14T10:30:00Z\"","",
        ""  \""user_id\"": \""admin\"""",
        ""}""
      ]
    ],
    ""Usage"": {
      ""InputTokens"": 412,
      ""OutputTokens"": 198
    }
  },
  ""Validation"": {
    ""Title"": ""Structured Validation Failure"",
    ""Explanation"": [
      ""JSON structure is valid but content doesn't match any expected results."",
      ""First log entry shows ERROR level instead of expected INFO level."",
      ""Message content mismatch: authentication failure vs login success.""
    ],
    ""Usage"": {
      ""InputTokens"": 89,
      ""OutputTokens"": 15
    }
  },
  ""Error"": {
    ""Title"": """",
    ""Message"": """",
    ""Details"": null,
    ""Usage"": {}
  }
}"
